Vorname,Nachname,E-Mail,Straße,Postleitzahl,Ort,Land,Bundesland,Geburtsdatum,Geschlecht,Externe ID,Donor Type
Benno,Rogge,hsiering@example.org,Mälzerweg 2-2,68092,Güstrow,Deutschland,Schleswig-Holstein,1986-08-16,Männlich,1,
Francis,Müller,helenschoenland@example.com,Tomasz-Mülichen-Gasse 99,44897,Aurich,Deutschland,Nordrhein-Westfalen,1940-03-25,Männlich,2,Monthly Donor
Ottokar,Plath,vogtjuliana@example.net,Willibald-Jäkel-Ring 251,79278,Greiz,Deutschland,Hessen,1938-04-12,Männlich,3,Past Donor
Luka,Kusch,ekkehardmielcarek@example.org,Gregor-Tintzmann-Weg 6/2,54525,Guben,Deutschland,Rheinland-Pfalz,1966-03-14,Weiblich,4,One Time Donor
Meinrad,Zobel,siegfriedschleich@example.org,Bolnbachgasse 28/33,12496,Neuruppin,Deutschland,Hamburg,1962-12-30,Männlich,5,Monthly Donor
Christina,Ladeck,stellakoester@example.net,Schönlandweg 33/33,83468,Stadtsteinach,Deutschland,Sachsen,1964-10-21,Weiblich,6,
Angelica,Stoll,trommlerdoerthe@example.net,Benthinstraße 74,22989,Northeim,Deutschland,Niedersachsen,1976-08-23,Nichtbinär / Nonbinary,7,Monthly Donor
Kathi,Römer,jstaude@example.net,Leonardo-Lindau-Weg 6564,82128,Sigmaringen,Deutschland,Nordrhein-Westfalen,1983-07-19,Männlich,8,
Irene,Jessel,remoullrich@example.org,Pohlstr. 4-9,81560,Schwerin,Deutschland,Bremen,1996-01-08,Männlich,9,
Aysel,Hethur,schoenlandhanne@example.net,Marc-Reinhardt-Straße 21/55,60099,Neu-Ulm,Deutschland,Brandenburg,2002-01-07,Weiblich,10,Monthly Donor
Peter,Scheibe,yloos@example.com,Francoise-Stroh-Allee 7,52171,Brand,Deutschland,Niedersachsen,1994-07-24,Männlich,11,Monthly Donor
Roswitha,Ruppert,werneckeedeltraut@example.org,Kühnertstraße 8-5,13222,Passau,Deutschland,Baden-Württemberg,1957-07-07,Weiblich,12,
Karl-Werner,Thies,xeckbauer@example.com,Rosa-Wesack-Gasse 3045,12515,Melsungen,Deutschland,Berlin,1982-03-11,Männlich,13,
Ottfried,Junitz,guteludmilla@example.org,Tröststraße 29,07179,Kehl,Deutschland,Hessen,1985-09-19,Männlich,14,
Aribert,Förster,fatima60@example.org,Andreas-Junk-Ring 7,17523,Helmstedt,Deutschland,Saarland,2006-07-11,Männlich,15,One Time Donor
Baldur,Scheibe,tluebs@example.net,Ferdinand-Henck-Gasse 125,33952,Gießen,Deutschland,Niedersachsen,1952-05-09,Weiblich,16,Monthly Donor
Ralf-Peter,Hertrampf,mentzelfriedrich@example.net,Edelbert-Jessel-Ring 70,34513,Fulda,Deutschland,Hessen,1950-06-04,Weiblich,17,Monthly Donor
Engelbert,Warmer,bianka15@example.net,Heßgasse 6-8,64864,Höxter,Deutschland,Sachsen,1941-06-01,Weiblich,18,Past Donor
Reinhold,Ortmann,nbaum@example.net,Hübelstr. 7472,74521,Gifhorn,Deutschland,Sachsen,1933-12-03,Weiblich,19,One Time Donor
Clara,Pechel,floewer@example.org,Kohlallee 9,79448,Bad Langensalza,Deutschland,Baden-Württemberg,1975-01-02,Weiblich,20,Past Donor
Gönül,Nerger,tortmann@example.com,Herrmann-Hübel-Straße 8743,86498,Roth,Deutschland,Berlin,1951-08-08,Männlich,21,
Hans-Rainer,Zimmer,hagen50@example.org,Wähnergasse 19-24,62181,Wolfenbüttel,Deutschland,Thüringen,1980-03-31,Männlich,22,
Martin,Heydrich,theresaloos@example.com,Hölzenbecherplatz 62,41473,Brandenburg,Deutschland,Schleswig-Holstein,1984-12-04,Weiblich,23,Past Donor
Edeltrud,Jäntsch,vincentzirme@example.com,Walli-Mosemann-Straße 86,03168,Soltau,Deutschland,Brandenburg,1939-10-21,Männlich,24,One Time Donor
Friedhelm,Trupp,tehlert@example.com,Rosemannplatz 19-44,76338,Badalzungen,Deutschland,Niedersachsen,1949-10-02,Männlich,25,Monthly Donor
Elizabeth,Klingelhöfer,waehnerdenise@example.org,Niemeierstraße 30-36,12868,Rostock,Deutschland,Brandenburg,1976-04-01,Männlich,26,One Time Donor
Kurt,Christoph,barbara58@example.net,Junitzgasse 3-8,29288,Erkelenz,Deutschland,Mecklenburg-Vorpommern,1967-06-18,Männlich,27,Past Donor
Engin,Thanel,gertztimm@example.org,Tobias-Sauer-Allee 54-98,53361,Borken,Deutschland,Thüringen,1949-09-26,Weiblich,28,One Time Donor
Raisa,Wulff,weinhagehans-erich@example.com,Gehringerallee 3/6,78845,Stuttgart,Deutschland,Bremen,1979-05-23,Weiblich,29,
Nikolaj,Tintzmann,scheuermannchristopher@example.com,Börnerstr. 13/40,36057,Wolfratshausen,Deutschland,Bremen,2002-02-02,Weiblich,30,Past Donor
Tilo,Noack,renatovogt@example.org,Belinda-Kabus-Gasse 35/30,67385,Karlsruhe,Deutschland,Brandenburg,1981-07-21,Weiblich,31,
Edelbert,Schleich,reutertillmann@example.com,Melissa-Dehmel-Allee 4-9,37684,Darmstadt,Deutschland,Hamburg,2002-08-08,Männlich,32,Monthly Donor
Selim,Sauer,suessebierhans-joachim@example.com,Hofmannstr. 547,71756,Oschatz,Deutschland,Nordrhein-Westfalen,1957-06-28,Männlich,33,One Time Donor
Wolf-Rüdiger,Salz,gierschnerjoanna@example.com,Junkplatz 2990,83603,Freudenstadt,Deutschland,Schleswig-Holstein,1938-05-11,Männlich,34,
Karl-Georg,Gumprich,blochgerfried@example.org,Hermighausenstraße 7,18190,Mayen,Deutschland,Nordrhein-Westfalen,1941-03-04,Männlich,35,Past Donor
Holger,Schinke,mariannetrommler@example.com,Pärtzeltstr. 4899,21381,Düren,Deutschland,Brandenburg,1969-03-24,Männlich,36,One Time Donor
Erhardt,Albers,sigmarschmidt@example.com,Vitus-Ditschlerin-Ring 63,84773,Schwäbisch Hall,Deutschland,Bayern,2007-06-10,Männlich,37,Monthly Donor
Ulrich,Otto,arndbeyer@example.org,Albersstr. 562,04746,Ingolstadt,Deutschland,Hessen,1932-09-13,Weiblich,38,One Time Donor
Edith,Ehlert,adleringo@example.com,Lydia-Anders-Allee 79,36771,Hainichen,Deutschland,Mecklenburg-Vorpommern,1957-08-02,Nichtbinär / Nonbinary,39,
Christa-Maria,Schottin,zsiering@example.net,Kohlstr. 4/4,27196,Bremervörde,Deutschland,Hamburg,1962-01-13,Weiblich,40,Past Donor
Hardy,Atzler,trubvincenzo@example.org,Beyerstraße 52-15,56435,Hannover,Deutschland,Rheinland-Pfalz,1962-08-31,Männlich,41,Past Donor
Trude,Hornich,maja98@example.org,Ditschlerinring 23-33,26816,Flöha,Deutschland,Rheinland-Pfalz,1940-06-28,Nichtbinär / Nonbinary,42,Past Donor
Knut,Naser,balthasarreuter@example.net,Bekir-Becker-Weg 6405,06100,Stuttgart,Deutschland,Hessen,1993-01-26,Weiblich,43,Monthly Donor
Pawel,Eberth,agraf@example.net,Nicole-Mosemann-Gasse 6-5,36381,Ochsenfurt,Deutschland,Mecklenburg-Vorpommern,1939-02-05,Männlich,44,
Filippo,Ehlert,volkhard04@example.com,Herrmannstr. 5544,02659,Freising,Deutschland,Schleswig-Holstein,1933-11-24,Weiblich,45,Past Donor
Sandy,Misicher,seifertlisa@example.com,Gaby-Freudenberger-Straße 44-55,58434,Karlsruhe,Deutschland,Brandenburg,1979-05-18,Männlich,46,Past Donor
Brian,Junken,vtextor@example.net,Brunhilde-Dobes-Ring 16/39,20339,Strasburg,Deutschland,Berlin,1949-03-10,Weiblich,47,Monthly Donor
Kathrin,Bolander,zhuhn@example.org,Krokergasse 3/6,85362,Burg,Deutschland,Bayern,1938-01-25,Nichtbinär / Nonbinary,48,Past Donor
Benita,Lübs,marjanlangern@example.net,Raik-Döring-Straße 22/19,57605,Aschaffenburg,Deutschland,Schleswig-Holstein,1975-08-10,Männlich,49,Monthly Donor
Roger,Roht,envertrub@example.org,Budigplatz 66/29,33048,Flöha,Deutschland,Brandenburg,1948-10-28,Weiblich,50,Past Donor
Carolina,Scheibe,ahmed95@example.org,Förstergasse 17,29887,Lemgo,Deutschland,Sachsen,1940-08-06,Männlich,51,Monthly Donor
Christina,Ehlert,rosina59@example.net,Stefania-Röhricht-Gasse 88-28,98605,Quedlinburg,Deutschland,Brandenburg,1962-04-18,Weiblich,52,One Time Donor
Alla,Misicher,augusta82@example.net,Mitschkestraße 14-96,87067,Vilsbiburg,Deutschland,Hessen,1932-07-22,Nichtbinär / Nonbinary,53,Past Donor
Oskar,Ritter,sbenthin@example.net,Marzena-Flantz-Ring 1/5,06452,Neustadtner Waldnaab,Deutschland,Hessen,1980-11-05,Weiblich,54,Past Donor
